title,tmdbCode,type,tmdbTitle,matchConfidence
stranger things,66732,tv,Stranger Things,925.8182
virgin river,88324,tv,Virgin River,9.0508
the witcher,71912,tv,The Witcher,83.1264
outer banks,100757,tv,Outer Banks,11.3607
sweet magnolias,102904,tv,Sweet Magnolias,3.863
kings of jo'burg,114187,tv,Kings of Jo'Burg,2.4886
bridgerton,91239,tv,Bridgerton,30.7582
ginny & georgia,117581,tv,Ginny & Georgia,13.6027
the lincoln lawyer,116799,tv,The Lincoln Lawyer,11.5247
heartbreak high,12998,tv,Heartbreak High,5.346
the watcher,210232,tv,The Watcher,3.8734
the night agent,129552,tv,The Night Agent,12.8279
unseen,1067714,movie,Unseen,2.5159
the diplomat,203857,tv,The Diplomat,10.804
fatal seduction,227975,tv,Fatal Seduction,8.595
my life with the walter boys,199001,tv,My Life with the Walter Boys,12.2569
3 body problem,108545,tv,3 Body Problem,11.444
supacell,158141,tv,Supacell,4.6167
beauty in black,246246,tv,Beauty in Black,10.4842
black doves,225385,tv,Black Doves,4.9049
ransom canyon,240993,tv,Ransom Canyon,3.5244
forever,60726,tv,Forever,9.3802
bet,255779,tv,Bet,3.93
dept. q,245703,tv,Dept. Q,6.1979
untamed,248852,tv,UNTAMED,7.8378
house of guinness,250988,tv,House of Guinness,6.8432
bad influencer,302854,tv,Bad Influencer,11.61
the abandons,223300,tv,The Abandons,92.5626
awaiting release,,,,
run away[28],,,,
his & hers[30],854912,movie,For The Sake Of Her Impotent This Married Woman She Went To This Rundown Dump And Enjoyed Deep And Rich Impregnation Sex With A Single Man Who Had Spent The Past 30 Days Storing His Semen Hikari Kisaki,0
agatha christie's seven dials[32],,,,
emily in paris,82596,tv,Emily in Paris,16.8652
the upshaws,121509,tv,The Upshaws,3.4667
wednesday,119051,tv,Wednesday,58.0128
beef,154385,tv,BEEF,6.1393
"xo, kitty",195670,tv,"XO, Kitty",10.3881
survival of the thickest,227139,tv,Survival of the Thickest,1.9577
the vince staples show,243861,tv,The Vince Staples Show,1.9366
the gentlemen,236235,tv,The Gentlemen,11.7343
tires,247522,tv,Tires,3.1934
nobody wants this,250923,tv,Nobody Wants This,8.1741
a man on the inside,245312,tv,A Man on the Inside,15.8048
running point,244623,tv,Running Point,3.4971
the four seasons,25113,movie,The Four Seasons,1.8753
bad thoughts,251608,tv,Bad Thoughts,1.7121
miss governor,283368,tv,Miss Governor,1.7006
leanne,252751,tv,Leanne,2.7858
boots,225647,tv,Boots,10.101
son of a donkey,255803,tv,Son of a Donkey,2.8914
awaiting release,,,,
man vs. baby[48],,,,
one piece,111110,tv,ONE PIECE,11.5767
avatar: the last airbender,246,tv,Avatar: The Last Airbender,11.7194
geek girl,252605,tv,Geek Girl,2.4701
blippi's job show,285836,tv,Blippi's Job Show,0.356
"love, death & robots",86831,tv,"Love, Death & Robots",20.613
blue eye samurai,225180,tv,BLUE EYE SAMURAI,6.0244
tomb raider: the legend of lara croft,117830,tv,Tomb Raider: The Legend of Lara Croft,4.8208
devil may cry,235930,tv,Devil May Cry,5.1403
long story short,880844,movie,Long Story Short,1.4827
haunted hotel,255752,tv,Haunted Hotel,5.9091
kurukshetra: the great war of mahabharata,300894,tv,Kurukshetra,5.2736
awaiting release,,,,
strip law[62],,,,
record of ragnarok,114868,tv,Record of Ragnarok,16.9753
castlevania: nocturne,123548,tv,Castlevania: Nocturne,5.0782
pokémon concierge,221301,tv,Pokémon Concierge,2.6146
moonrise,1075969,movie,Moonrise,4.3841
leviathan,14372,movie,Leviathan,1.7254
my melody & kuromi,281512,tv,My Melody & Kuromi,3.0079
splinter cell: deathwatch,127366,tv,Splinter Cell: Deathwatch,5.5888
awaiting release,,,,
love through a prism[66],,,,
gabby's dollhouse,111474,tv,Gabby's Dollhouse,10.6231
the creature cases,195407,tv,The Creature Cases,6.4498
unicorn academy,221504,tv,Unicorn Academy,6.1841
cocomelon lane,209710,tv,CoComelon Lane,2.2144
hot wheels let's race,235995,tv,Hot Wheels Let's Race,3.7279
mighty monsterwheelies,235998,tv,Mighty Monsterwheelies,2.3862
barbie mysteries,234586,tv,Barbie Mysteries,2.2947
dog days out,282209,tv,Dog Days Out,1.1272
"dr. seuss's red fish, blue fish",293703,tv,"Dr. Seuss's Red Fish, Blue Fish",2.075
dr. seuss's horton!,293205,tv,Dr. Seuss's Horton!,0.6609
the bad guys: breaking in,302540,tv,The Bad Guys: Breaking In,7.8727
the exchange,718916,movie,The Exchange,2.8229
franklin,1458,tv,Franklin,4.5111
catalog,93501,movie,Catalog,0.0338
roosters,293406,movie,Roosters,1.7471
football parents,261009,tv,Football Parents,1.3318
amsterdam empire,249586,tv,Amsterdam Empire,8.4384
lupin,96677,tv,Lupin,11.9813
blood coast,216985,tv,Blood Coast,5.0012
furies,212588,tv,Furies,3.3294
the cage,1339566,movie,The Cage,1.9015
under a dark sun,272466,tv,Under a Dark Sun,3.7666
young millionaires,272467,tv,Young Millionaires,3.7987
néro the assassin,249551,tv,Néro the Assassin,12.0994
the empress,623595,movie,The Empress,2.3766
crooks,246799,tv,Crooks,3.7331
murder mindfully,252372,tv,Murder Mindfully,4.217
dudes,26574,movie,Dudes,1.6543
delhi crime,87508,tv,Delhi Crime,4.7439
she,1881653,person,Nicolette Shea,101.551
mismatched,113457,tv,Mismatched,2.1815
yeh kaali kaali ankhein,153950,tv,Yeh Kaali Kaali Ankhein,1.3847
class,21500,movie,Class,3.3844
rana naidu,203202,tv,Rana Naidu,2.7685
guns & gulaabs,156714,tv,Guns & Gulaabs,1.4934
maamla legal hai,246483,tv,Maamla Legal Hai,1.5153
heeramandi: the diamond bazaar,156716,tv,Heeramandi,3.5569
black warrant,983768,movie,Black Warrant,3.8226
dabba cartel,247830,tv,Dabba Cartel,1.8957
khakee: the bengal chapter,282394,tv,Khakee: The Bengal Chapter,2.2845
the royals,62137,tv,The Royals,2.7335
mandala murders,247831,tv,Mandala Murders,3.0578
saare jahan se accha: the silent guardians,283610,tv,Saare Jahan Se Accha: The Silent Guardians,2.5609
the ba***ds of bollywood,247043,tv,The Ba***ds of Bollywood,3.6299
the law according to lidia poët,218896,tv,The Law According to Lidia Poët,2.8356
public disorder,278877,tv,Public Disorder,2.486
my family,643,tv,My Family,5.097
real men,44801,movie,Real Men,2.1493
sara – woman in the shadows,291256,tv,Sara - Woman in the Shadows,2.4555
riv4lries,299483,tv,RIV4LRIES,4.143
awaiting release,,,,
sicily express[93],,,,
alice in borderland,110316,tv,Alice in Borderland,30.3859
asura,466403,movie,Asura,3.2835
glass heart,247670,tv,Glass Heart,2.4735
romantics anonymous,249054,tv,Romantics Anonymous,3.4302
last samurai standing,252193,tv,Last Samurai Standing,34.1804
all of us are dead,99966,tv,All of Us Are Dead,15.5744
bloodhounds,437453,movie,Bloodhounds,2.6252
the trauma code: heroes on call,217553,tv,The Trauma Code: Heroes on Call,4.9092
dear hongrang,224819,tv,Dear Hongrang,2.5553
"genie, make a wish",228689,tv,"Genie, Make a Wish",13.2456
the price of confession,209110,tv,The Price of Confession,45.9639
awaiting release,,,,
cashero[97],,,,
i am married...but!,239017,tv,I Am Married...But!,1.756
forget you not,250178,tv,Forget You Not,1.2516
the resurrected,30694,movie,The Resurrected,4.1133
had i not seen the sun,241576,tv,Had I Not Seen the Sun,8.5881
1670,236450,tv,1670,3.3365
the mothers of penguins,252747,tv,The Mothers of Penguins,2.065
the hooligan,280872,tv,The Hooligan,1.8064
aniela,52624,tv,Aniela,0.8424
turn of the tide,202577,tv,Turn of the Tide,3.3572
criminal code,235924,tv,Criminal Code,5.2641
rulers of fortune,282440,tv,Rulers of Fortune,12.8891
alpha males,215092,tv,Alpha Males,5.8723
the snow girl,1069650,movie,The Girl in the Snow,2.5076
eva lasting,219063,tv,Eva Lasting,2.9904
community squad,219066,tv,Community Squad,2.2251
fake profile,227371,tv,Fake Profile,5.8469
